date,all,doc,project
2017-03-11,0,0,watchtower
2017-03-01,0,0,Omeka
2017-03-02,2,1,Omeka
2017-03-03,0,0,Omeka
2017-03-04,0,0,Omeka
2017-03-05,0,0,Omeka
2017-03-06,0,0,Omeka
2017-03-07,0,0,Omeka
2017-03-08,0,0,Omeka
2017-03-09,0,0,Omeka
2017-03-10,0,0,Omeka
2017-03-11,0,0,Omeka
2017-03-01,2,0,pandas
2017-03-02,10,6,pandas
2017-03-03,4,0,pandas
2017-03-04,8,2,pandas
2017-03-05,8,1,pandas
2017-03-06,2,0,pandas
2017-03-07,0,0,pandas
2017-03-08,0,0,pandas
2017-03-09,0,0,pandas
2017-03-10,0,0,pandas
2017-03-11,0,0,pandas
2017-03-01,5,0,pmagpy
2017-03-02,3,0,pmagpy
2017-03-03,2,0,pmagpy
2017-03-04,2,0,pmagpy
2017-03-05,1,0,pmagpy
2017-03-06,8,2,pmagpy
2017-03-07,0,0,pmagpy
2017-03-08,0,0,pmagpy
2017-03-09,0,0,pmagpy
2017-03-10,0,0,pmagpy
2017-03-11,0,0,pmagpy
2017-03-01,0,0,MSNoise
2017-03-02,1,0,MSNoise
2017-03-03,0,0,MSNoise
2017-03-04,0,0,MSNoise
2017-03-05,0,0,MSNoise
2017-03-06,5,0,MSNoise
2017-03-07,0,0,MSNoise
2017-03-08,0,0,MSNoise
2017-03-09,0,0,MSNoise
2017-03-10,0,0,MSNoise
2017-03-11,0,0,MSNoise
2017-03-01,6,1,scikit-image
2017-03-02,2,1,scikit-image
2017-03-03,0,0,scikit-image
2017-03-04,0,0,scikit-image
2017-03-05,1,0,scikit-image
2017-03-06,0,0,scikit-image
2017-03-07,0,0,scikit-image
2017-03-08,0,0,scikit-image
2017-03-09,0,0,scikit-image
2017-03-10,0,0,scikit-image
2017-03-11,0,0,scikit-image
2017-03-01,0,0,scikit-learn
2017-03-02,4,2,scikit-learn
2017-03-03,3,1,scikit-learn
2017-03-04,7,0,scikit-learn
2017-03-05,2,0,scikit-learn
2017-03-06,1,0,scikit-learn
2017-03-07,0,0,scikit-learn
2017-03-08,0,0,scikit-learn
2017-03-09,0,0,scikit-learn
2017-03-10,0,0,scikit-learn
2017-03-11,0,0,scikit-learn
2017-03-01,0,0,hdbscan
2017-03-02,0,0,hdbscan
2017-03-03,0,0,hdbscan
2017-03-04,0,0,hdbscan
2017-03-05,1,0,hdbscan
2017-03-06,0,0,hdbscan
2017-03-07,0,0,hdbscan
2017-03-08,0,0,hdbscan
2017-03-09,0,0,hdbscan
2017-03-10,0,0,hdbscan
2017-03-11,0,0,hdbscan
2017-03-01,1,0,scipy
2017-03-02,1,0,scipy
2017-03-03,0,0,scipy
2017-03-04,2,1,scipy
2017-03-05,0,0,scipy
2017-03-06,0,0,scipy
2017-03-07,0,0,scipy
2017-03-08,0,0,scipy
2017-03-09,0,0,scipy
2017-03-10,0,0,scipy
2017-03-11,0,0,scipy
2017-03-01,0,0,sncosmo
2017-03-02,0,0,sncosmo
2017-03-03,0,0,sncosmo
2017-03-04,0,0,sncosmo
2017-03-05,0,0,sncosmo
2017-03-06,0,0,sncosmo
2017-03-07,0,0,sncosmo
2017-03-08,0,0,sncosmo
2017-03-09,0,0,sncosmo
2017-03-10,0,0,sncosmo
2017-03-11,0,0,sncosmo
2017-03-01,19,1,Sylius
2017-03-02,17,1,Sylius
2017-03-03,19,2,Sylius
2017-03-04,1,0,Sylius
2017-03-05,0,0,Sylius
2017-03-06,10,3,Sylius
2017-03-07,0,0,Sylius
2017-03-08,0,0,Sylius
2017-03-09,0,0,Sylius
2017-03-10,0,0,Sylius
2017-03-11,0,0,Sylius
2017-03-01,0,0,CARLsim3
2017-03-02,0,0,CARLsim3
2017-03-03,0,0,CARLsim3
2017-03-04,0,0,CARLsim3
2017-03-05,7,0,CARLsim3
2017-03-06,0,0,CARLsim3
2017-03-07,0,0,CARLsim3
2017-03-08,0,0,CARLsim3
2017-03-09,0,0,CARLsim3
2017-03-10,0,0,CARLsim3
2017-03-11,0,0,CARLsim3
2017-03-01,0,0,CARLsim4
2017-03-02,0,0,CARLsim4
2017-03-03,0,0,CARLsim4
2017-03-04,0,0,CARLsim4
2017-03-05,0,0,CARLsim4
2017-03-06,0,0,CARLsim4
2017-03-07,0,0,CARLsim4
2017-03-08,0,0,CARLsim4
2017-03-09,0,0,CARLsim4
2017-03-10,0,0,CARLsim4
2017-03-11,0,0,CARLsim4
2017-03-01,0,0,pulse2percept
2017-03-02,0,0,pulse2percept
2017-03-03,0,0,pulse2percept
2017-03-04,0,0,pulse2percept
2017-03-05,0,0,pulse2percept
2017-03-06,0,0,pulse2percept
2017-03-07,0,0,pulse2percept
2017-03-08,0,0,pulse2percept
2017-03-09,0,0,pulse2percept
2017-03-10,0,0,pulse2percept
2017-03-11,0,0,pulse2percept
